,city,lat,lng,country,Temperature (F),Cloudiness %,Wind Speed (mph),Humidity %
88,Surat Thani,9.1500991,99.34012732,Thailand,24.41,12,1.51,93
89,Maykop,44.60997601,40.12002112,Russia,2.19,76,0.81,95
93,Goma,-1.6787991009999998,29.2217868,Congo (Kinshasa),16.94,44,0.16,98
94,Gulu,2.7799969669999998,32.28003454,Uganda,22.79,8,3.59,69
95,Waukegan,42.36404075,-87.8447262,United States of America,1.9,1,5.7,50
96,Osorno,-40.56999266,-73.1600153,Chile,16,0,2.6,44
97,Dali,25.70001914,100.17997270000001,China,8.64,0,1.04,92
98,Rondonopolis,-16.469499900000002,-54.63998295,Brazil,29.41,44,1.91,81
99,La Rioja,-29.40995034,-66.84996118,Argentina,18.89,0,1.91,65
100,Jijel,36.82199703,5.76600356,Algeria,10.79,75,6.2,87
102,Sobral,-3.6900215469999997,-40.35002832,Brazil,27.94,76,1.89,82
103,Geelong,-38.16749505,144.3956335,Australia,10.28,40,10.8,66
105,Dundee,56.47038902,-3.0000083839999996,United Kingdom,7.64,40,4.1,61
106,Jayapura,-2.532986228,140.69998,Indonesia,26.19,92,0.91,47
107,Marbella,36.51661989,-4.88333012,Spain,16.41,20,5.7,58
108,Kattaqorgon,39.90070274,66.26075110000001,Uzbekistan,26,64,3.1,9
109,El Arish,31.12488181,33.80056189,Egypt,21.19,92,1.14,100
110,Moanda,-5.922908509,12.35499752,Congo (Kinshasa),29.19,0,3.51,57
111,San Cristobal,18.415998100000003,-70.10900052,Dominican Republic,20,20,3.6,49
112,Kanchipuram,12.83372438,79.71667395,India,29,20,3.6,74
113,Gonder,12.61004295,37.46002844,Ethiopia,23.66,76,1.61,28
114,Savannah,32.02110618,-81.10999516,United States of America,10.99,90,2.6,81
115,Ponce,18.00038576,-66.61664209,Puerto Rico,24.64,88,3.31,99
116,Baranavichy,53.13684572,26.01344031,Belarus,3.89,0,5.51,63
117,Hinthada,17.64826255,95.46785722,Myanmar,24.79,0,4.16,65
118,Termiz,37.23293276,67.27293738,Uzbekistan,22.11,40,3.1,32
119,Rubtsovsk,51.52001935,81.21001949,Russia,5.71,92,4.76,92
120,Mostaganem,35.940376,0.089983885,Algeria,10.54,44,1.39,100
121,Kragujevac,44.01996035,20.92000443,Serbia,4,75,1.5,88
122,Dese,11.12997825,39.63002519,Ethiopia,8.67,0,1.5,61
123,Taunggyi,20.78199907,97.03800065,Myanmar,15.26,0,1.01,77
124,Xiaogan,30.92039817,113.90001380000001,China,15,0,2,87
125,Salamanca,40.97040489,-5.670000449,Spain,9,20,3.1,49
126,Bergamo,45.70040041,9.669993448,Italy,10,0,2.6,77
127,Budaun,28.03000612,79.08999385,India,21.79,0,1.51,53
128,Cork,51.89860089,-8.49577112,Ireland,8,75,3.6,81
129,Oldenburg,53.1299986,8.220004434,Germany,6.63,0,2.6,57
130,Luzern,47.05042137,8.280000772000001,Switzerland,10.28,90,2.1,57
131,Crato,-7.2295987760000004,-39.42000757,Brazil,25.41,88,2.29,80
132,Parma,44.81042889,10.32003129,Italy,9.5,0,2.6,72
133,Serang,-6.109977194,106.1496342,Indonesia,26,20,2.26,88
134,Ceerigaabo,10.58329807,47.33330461,Somaliland,10.36,0,0.94,61
135,Aracatuba,-21.20998574,-50.45000615,Brazil,25.64,76,5.19,92
136,Puerto Montt,-41.469989399999996,-72.92997766,Chile,15,75,5.7,58
137,Medinipur,22.3304057,87.15001868,India,24.64,8,3.96,92
138,Chirala,15.86041302,80.33999508,India,27.14,0,3.96,100
139,Lobito,-12.37000853,13.54123002,Angola,23.54,100,1.21,93
140,Taza,34.22037762,-4.019971966,Morocco,9.46,92,5.31,98
141,Melbourne,28.08331036,-80.60832035,United States of America,10.34,0,8.2,61
142,South Bend,41.68330711,-86.25001734,United States of America,4.8,1,8.2,27
143,Varamin,35.31658978,51.64660437,Iran,23.51,40,7.7,20
144,Nablus,32.22148155,35.25442663,Palestine,17.71,0,4.1,63
146,Burgas,42.51460004,27.47464311,Bulgaria,6,90,3.1,93
