,city,lat,lng,country,Temperature (F),Cloudiness %,Wind Speed (mph),Humidity %
396,Campo Grande,-20.45003213,-54.61662521,Brazil,25.64,56,3.14,86
397,Huzhou,30.87037539,120.0999971,China,12.79,92,1.61,82
398,Nashville,36.16997438,-86.77998499,United States of America,8.81,90,2.1,87
399,Joinville,-26.31995807,-48.83994938,Brazil,29,20,4.6,70
400,Zagreb,45.80000673,15.99999467,Croatia,4.53,0,2.6,60
401,Cheongju,36.64389895,127.5011991,South Korea,4.45,20,1,93
402,Zürich,47.37998781,8.55001013,Switzerland,9.92,40,2.1,43
403,Cotonou,6.400008564,2.519990599,Benin,26,40,1.5,88
404,Jiaxing,30.77040733,120.74998329999998,China,15,0,1,82
405,Dhanbad,23.80039349,86.41998572,India,22.76,0,2.51,42
406,Bengbu,32.94999005,117.330037,China,9.36,0,1.24,91
407,Mexicali,32.64998252,-115.48001609999999,Mexico,19,75,7.2,25
408,Jos,9.929973978,8.890041055,Nigeria,27.46,24,2.49,26
409,Vila Velha,-20.36760822,-40.31798893,Brazil,30,40,4.6,70
410,Agadir,30.43998822,-9.620043581000001,Morocco,22,0,4.6,46
411,Rajshahi,24.37498374,88.60502029999999,Bangladesh,23.61,24,1.26,89
412,Aden,12.77972251,45.00949011,Yemen,25.91,0,7.36,98
413,Raipur,21.23499453,81.63500647,India,23.81,0,4.04,29
414,Jinzhou,41.12036989,121.10003940000001,China,10.14,0,4.49,34
416,Newcastle,-32.84534788,151.81501219999998,Australia,15.21,24,1.79,79
417,Quanzhou,24.9000163,118.5799865,China,19,64,2,82
418,Salem,11.66999697,78.18007523,India,5.23,90,1.5,100
419,Bogor,-6.570000795,106.75001090000002,Indonesia,26,20,0.89,88
420,Qinhuangdao,39.93036501,119.6200264,China,8.56,0,2.51,57
421,Bandar Lampung,-5.449604066,105.3000219,Indonesia,22.51,24,0.79,95
422,Xining,36.6199986,101.7700048,China,1.86,92,0.39,91
423,Benxi,41.33038291,123.75000690000002,China,10,0,4,46
424,Baoshan,25.11997703,99.15000972,China,12.96,0,2,71
425,Gwalior,26.229986800000002,78.18007523,India,19.81,0,1.14,44
426,Chandigarh,30.71999697,76.78000565,India,20.01,0,3.09,49
427,Daqing,46.57995913,125.0000081,China,3.86,0,5.41,70
428,Oakland,37.76892071,-122.2211034,United States of America,11.22,75,2.1,57
429,Jamshedpur,22.78753542,86.19751868,India,23.46,24,2.29,72
430,Weifang,36.7204059,119.1001098,China,11.01,0,3.81,77
431,Zhongli,24.96502525,121.2167765,Taiwan,21,20,4.6,64
432,Calgary,51.08299176,-114.0799982,Canada,-2.09,20,3.1,94
433,Ankang,32.67998069,109.02000159999999,China,7.19,12,0.81,86
434,Sofia,42.68334943,23.31665401,Bulgaria,3,90,6.7,86
435,Abbottabad,34.1495034,73.19950069,Pakistan,22,0,0.94,40
436,Kuwait,29.36971763,47.97830115,Kuwait,25.69,12,1.06,78
437,København,55.67856419,12.56348575,Denmark,4.22,75,0.5,93
438,Omsk,54.98998842,73.39995357,Russia,-5,75,3,73
439,Bhilai,21.216666699999998,81.4333333,India,23.81,0,4.04,29
440,Madurai,9.920026264,78.12002722,India,29,20,1.11,58
441,Zhanjiang,21.19998374,110.3800219,China,21.36,0,5.09,94
442,Changzhou,31.77998395,119.96997920000001,China,11.56,76,1.49,89
443,Las Vegas,36.20999778,-115.22000609999999,United States of America,12.65,1,6.7,34
444,Ghaziabad,28.66038108,77.40839107,India,26,0,3.1,47
445,Yekaterinburg,56.85002993,60.59995967,Russia,-5,40,3,79
446,Haiphong,20.83000633,106.68009270000002,Vietnam,16.89,0,1.71,95
447,Leon,21.1499868,-101.7000304,Mexico,4.25,90,4.6,69
448,Mannheim,49.50037518,8.470015013,Germany,9.99,20,1.94,43
449,Kampala,0.316658955,32.58332353,Uganda,21.11,20,1.34,90
450,Bamako,12.65001467,-8.000039105,Mali,35,0,1.5,5
451,Hyderabad,25.379987,68.37498897,Pakistan,26,0,2.1,69
452,Fushun,41.86538902,123.8699996,China,10,0,4,46
453,Datong,40.08001996,113.2999987,China,-0.22,0,1.26,64
454,Kumasi,6.689990863999999,-1.630014487,Ghana,22.86,44,3.49,99
455,Santiago,19.50000999,-70.67001225,Dominican Republic,30.5,0,2.1,13
456,Xiamen,24.44999208,118.080017,China,19,20,2,82
457,Xuzhou,34.28001223,117.1800203,China,9.61,0,1.34,85
458,Bhopal,23.24998781,77.40999304,India,24,0,3.1,29
459,Wanzhou,30.81999086,108.40003940000001,China,8.79,32,1.34,93
460,Warsaw,52.25000063,20.99999955,Poland,6,0,2.6,52
461,Maracaibo,10.72997683,-71.65997766,Venezuela,31,20,2.1,45
463,Belem,-1.450003236,-48.48002303,Brazil,28.81,80,1.81,77
464,Puebla,19.04995994,-98.20003727,Mexico,23,5,1.01,18
466,Patna,25.62495913,85.13003861,India,25,0,2.19,47
467,Baku,40.39527203,49.86221716,Azerbaijan,8,75,5.1,93
468,Nanchang,28.67999229,115.8799963,China,13.36,92,1.69,100
469,Jilin,43.84997072,126.55004270000002,China,6.04,0,3.99,62
470,Nanchong,30.78043256,106.1299971,China,10.64,48,1.14,83
471,Qingdao,36.08997927,120.33000890000001,China,12,0,4,46
472,Nagpur,21.16995974,79.08999385,India,29,36,3.69,23
473,Caracas,10.50099855,-66.91703719,Venezuela,31,20,3.1,52
474,Hangzhou,30.24997398,120.17001869999999,China,15,0,1,82
475,Daegu,35.86678876,128.60697140000002,South Korea,8,0,2.6,65
476,Dakar,14.71583173,-17.47313013,Senegal,21,0,5.7,73
477,Recife,-8.075645326,-34.91560551,Brazil,29.81,12,3.04,59
478,Porto Alegre,-30.05001463,-51.20001205,Brazil,22.25,90,5.1,77
480,Quezon City,14.650435199999999,121.0299662,Philippines,25,20,3.1,73
481,Dar es Salaam,-6.800012595,39.26834184,Tanzania,26.61,75,2.6,94
482,Taiyuan,37.87501243,112.5450577,China,6,0,1,45
483,Nairobi,-1.283346742,36.81665686,Kenya,21,40,4.1,73
484,Santiago,-33.45001382,-70.66704085,Chile,30.5,0,2.1,13
485,Pyongyang,39.0194387,125.75469070000001,North Korea,0.16,0,1.39,82
486,Guadalajara,20.67001609,-103.3300342,Mexico,8.6,20,8.2,57
487,Dallas,32.82002382,-96.84001693,United States of America,22.36,90,4.1,83
488,Nanjing,32.05001914,118.7799743,China,12,48,1,93
489,Busan,35.09505292,129.0100476,South Korea,8,0,2.1,81
490,Ankara,39.92723859,32.86439164,Turkey,8,75,2.6,61
491,Alexandria,31.20001935,29.94999589,Egypt,23.72,90,3.6,69
492,Sydney,-33.92001097,151.18517980000001,Australia,21,76,7.2,83
493,Chittagong,22.32999229,91.79996741,Bangladesh,26,0,2.71,94
494,Riyadh,24.64083315,46.77274166,Saudi Arabia,26,0,2.1,7
495,Wuhan,30.58003135,114.270017,China,15,8,2,87
496,Hong Kong,22.304980899999997,114.18500929999999,Hong Kong S.A.R.,20.67,20,3.1,73
497,Los Angeles,33.98997825,-118.1799805,United States of America,13.73,20,0.94,67
498,Buenos Aires,-34.60250161,-58.39753137,Argentina,18.34,0,2.6,42
499,Mumbai,19.01699038,72.8569893,India,32,20,2.1,40
